areaType,areaName,areaCode,date,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate
overview,United Kingdom,K02000001,2021-05-06,10,127727
overview,United Kingdom,K02000001,2021-05-05,12,127717
overview,United Kingdom,K02000001,2021-05-04,10,127705
overview,United Kingdom,K02000001,2021-05-03,8,127695
overview,United Kingdom,K02000001,2021-05-02,12,127687
overview,United Kingdom,K02000001,2021-05-01,8,127675
overview,United Kingdom,K02000001,2021-04-30,8,127667
overview,United Kingdom,K02000001,2021-04-29,13,127659
overview,United Kingdom,K02000001,2021-04-28,14,127646
overview,United Kingdom,K02000001,2021-04-27,12,127632
overview,United Kingdom,K02000001,2021-04-26,13,127620
overview,United Kingdom,K02000001,2021-04-25,15,127607
overview,United Kingdom,K02000001,2021-04-24,8,127592
overview,United Kingdom,K02000001,2021-04-23,21,127584
overview,United Kingdom,K02000001,2021-04-22,16,127563
overview,United Kingdom,K02000001,2021-04-21,24,127547
overview,United Kingdom,K02000001,2021-04-20,19,127523
overview,United Kingdom,K02000001,2021-04-19,18,127504
overview,United Kingdom,K02000001,2021-04-18,17,127486
overview,United Kingdom,K02000001,2021-04-17,22,127469
overview,United Kingdom,K02000001,2021-04-16,17,127447
overview,United Kingdom,K02000001,2021-04-15,21,127430
overview,United Kingdom,K02000001,2021-04-14,17,127409
overview,United Kingdom,K02000001,2021-04-13,20,127392
overview,United Kingdom,K02000001,2021-04-12,27,127372
overview,United Kingdom,K02000001,2021-04-11,22,127345
overview,United Kingdom,K02000001,2021-04-10,24,127323
overview,United Kingdom,K02000001,2021-04-09,23,127299
overview,United Kingdom,K02000001,2021-04-08,35,127276
overview,United Kingdom,K02000001,2021-04-07,29,127241
overview,United Kingdom,K02000001,2021-04-06,28,127212
overview,United Kingdom,K02000001,2021-04-05,17,127184
overview,United Kingdom,K02000001,2021-04-04,26,127167
overview,United Kingdom,K02000001,2021-04-03,31,127141
overview,United Kingdom,K02000001,2021-04-02,28,127110
overview,United Kingdom,K02000001,2021-04-01,31,127082
overview,United Kingdom,K02000001,2021-03-31,38,127051
overview,United Kingdom,K02000001,2021-03-30,43,127013
overview,United Kingdom,K02000001,2021-03-29,35,126970
overview,United Kingdom,K02000001,2021-03-28,34,126935
overview,United Kingdom,K02000001,2021-03-27,36,126901
overview,United Kingdom,K02000001,2021-03-26,48,126865
overview,United Kingdom,K02000001,2021-03-25,45,126817
overview,United Kingdom,K02000001,2021-03-24,40,126772
overview,United Kingdom,K02000001,2021-03-23,50,126732
overview,United Kingdom,K02000001,2021-03-22,65,126682
overview,United Kingdom,K02000001,2021-03-21,80,126617
overview,United Kingdom,K02000001,2021-03-20,64,126537
overview,United Kingdom,K02000001,2021-03-19,70,126473
overview,United Kingdom,K02000001,2021-03-18,58,126403
overview,United Kingdom,K02000001,2021-03-17,79,126345
overview,United Kingdom,K02000001,2021-03-16,80,126266
overview,United Kingdom,K02000001,2021-03-15,91,126186
overview,United Kingdom,K02000001,2021-03-14,94,126095
overview,United Kingdom,K02000001,2021-03-13,108,126001
overview,United Kingdom,K02000001,2021-03-12,92,125893
overview,United Kingdom,K02000001,2021-03-11,122,125801
overview,United Kingdom,K02000001,2021-03-10,116,125679
overview,United Kingdom,K02000001,2021-03-09,133,125563
overview,United Kingdom,K02000001,2021-03-08,143,125430
overview,United Kingdom,K02000001,2021-03-07,131,125287
overview,United Kingdom,K02000001,2021-03-06,153,125156
overview,United Kingdom,K02000001,2021-03-05,169,125003
overview,United Kingdom,K02000001,2021-03-04,153,124834
overview,United Kingdom,K02000001,2021-03-03,147,124681
overview,United Kingdom,K02000001,2021-03-02,182,124534
overview,United Kingdom,K02000001,2021-03-01,224,124352
overview,United Kingdom,K02000001,2021-02-28,212,124128
overview,United Kingdom,K02000001,2021-02-27,229,123916
overview,United Kingdom,K02000001,2021-02-26,227,123687
overview,United Kingdom,K02000001,2021-02-25,259,123460
overview,United Kingdom,K02000001,2021-02-24,274,123201
overview,United Kingdom,K02000001,2021-02-23,288,122927
overview,United Kingdom,K02000001,2021-02-22,281,122639
overview,United Kingdom,K02000001,2021-02-21,325,122358
overview,United Kingdom,K02000001,2021-02-20,349,122033
overview,United Kingdom,K02000001,2021-02-19,380,121684
overview,United Kingdom,K02000001,2021-02-18,415,121304
overview,United Kingdom,K02000001,2021-02-17,430,120889
overview,United Kingdom,K02000001,2021-02-16,445,120459
overview,United Kingdom,K02000001,2021-02-15,518,120014
overview,United Kingdom,K02000001,2021-02-14,493,119496
overview,United Kingdom,K02000001,2021-02-13,491,119003
overview,United Kingdom,K02000001,2021-02-12,527,118512
overview,United Kingdom,K02000001,2021-02-11,571,117985
overview,United Kingdom,K02000001,2021-02-10,607,117414
overview,United Kingdom,K02000001,2021-02-09,607,116807
overview,United Kingdom,K02000001,2021-02-08,678,116200
overview,United Kingdom,K02000001,2021-02-07,635,115522
overview,United Kingdom,K02000001,2021-02-06,699,114887
overview,United Kingdom,K02000001,2021-02-05,752,114188
overview,United Kingdom,K02000001,2021-02-04,716,113436
overview,United Kingdom,K02000001,2021-02-03,857,112720
overview,United Kingdom,K02000001,2021-02-02,849,111863
overview,United Kingdom,K02000001,2021-02-01,891,111014
overview,United Kingdom,K02000001,2021-01-31,892,110123
overview,United Kingdom,K02000001,2021-01-30,911,109231
overview,United Kingdom,K02000001,2021-01-29,1068,108320
overview,United Kingdom,K02000001,2021-01-28,1106,107252
overview,United Kingdom,K02000001,2021-01-27,1111,106146
overview,United Kingdom,K02000001,2021-01-26,1059,105035
overview,United Kingdom,K02000001,2021-01-25,1164,103976
overview,United Kingdom,K02000001,2021-01-24,1157,102812
overview,United Kingdom,K02000001,2021-01-23,1163,101655
overview,United Kingdom,K02000001,2021-01-22,1244,100492
overview,United Kingdom,K02000001,2021-01-21,1235,99248
overview,United Kingdom,K02000001,2021-01-20,1296,98013
